id_phim,tenphim,trangthai,daodien,thoiluong,phude,namsx,quocgia,theloai,dophangiai,luotxem,rating,vote
162,Cuộc Tình Tay Ba,Hoàn thành,Iar Arondaing,48.0,Vietsub,2024,Philippines,"Chính kịch, Tình cảm, Phim 18+",FHD,312.0,8.0,1.0
163,Thiên Tài Bất Hảo,Hoàn thành,J.C. Lee,96.0,Vietsub,2024,Canada,"Chính kịch, Tâm lý",FHD,150.0,8.0,1.0
164,Luật Rừng Cuối Tuần,Hoàn thành,Vivek Athreya,172.0,Vietsub,2024,Ấn Độ,"Hành động, Tâm lý",FHD,121.0,8.0,1.0
165,Mật Mã Phù Thủy (Phần 1),Hoàn thành,"Alice Troughton, Juan Carlos Medina, Sarah Walker",45.0,Vietsub,2018,Âu Mỹ,"Hành động, Tâm lý, Viễn tưởng, Phiêu lưu, Khoa học",HD,10704.0,8.0,1.0
166,Mật Mã Phù Thủy (Phần 2),Hoàn thành,"Alice Troughton, Juan Carlos Medina, Sarah Walker",45.0,Vietsub,2021,Âu Mỹ,"Hành động, Tâm lý, Viễn tưởng, Phiêu lưu, Khoa học",HD,9991.0,8.0,1.0
167,Mật Mã Phù Thủy (Phần 3),Hoàn thành,"Alice Troughton, Juan Carlos Medina, Sarah Walker",46.0,Vietsub,2022,Âu Mỹ,"Hành động, Tâm lý, Viễn tưởng, Phiêu lưu, Khoa học",HD,8434.0,8.0,1.0
169,Bùa Yêu Trong Vũng Ngò Ôm,Hoàn thành,Off Pongpat Wachirabunjong,45.0,Vietsub,2021,Thái Lan,"Tình cảm, Hài hước",HD,13438.0,10.0,1.0
170,Bùa Yêu (Bản Thái),Hoàn thành,Koo Ekkasit Trakulkasemsuk,44.0,Lồng Tiếng,2020,Thái Lan,Tình cảm,HD,17435.0,8.0,1.0
171,Siêu Nhân Điện Quang Arc,Đang chiếu,Takanori Tsujimoto,30.0,VietSub,2024,Nhật Bản,"Hài hước, Hành động, Viễn tưởng, Khoa học",HD,2083.0,8.0,1.0
172,Thiên Cơ Thập Nhị Cung,Hoàn thành,Trần Bằng,,Lồng Tiếng,2019,Trung Quốc,"Tình cảm, Cổ trang",HD,11143.0,8.0,1.0
173,Jack And Joker: Người Đánh Cắp Trái Tim Tôi!,Đang chiếu,"Tee Sintanaparadee, Tee Bundit Sintanaparadee",60.0,VietSub,2024,Thái Lan,"Tình cảm, Tâm lý, Phiêu lưu, Bí ẩn, Hình sự",HD,2395.0,8.0,1.0
177,Bí Mật Kẻ Sát Nhân Hoàng Đạo,Hoàn thành,Đang cập nhật,49.0,Vietsub,2024,Âu Mỹ,"Tài liệu, Hình sự",FHD,176.0,8.0,1.0
178,Cắt qua thời gian,Hoàn thành,Hannah Macpherson,91.0,Vietsub,2024,Âu Mỹ,"Viễn tưởng, Khoa học, Kinh dị",HD,183.0,8.0,1.0
179,Ngôi Nhà Hạnh Phúc (Bản Việt Nam),Hoàn thành,Vũ Ngọc Đãng,45.0,Vietsub,2009,Việt Nam,"Gia đình, Tâm lý, Tình cảm",FHD,153.0,8.0,1.0
